city,osm_id,landuse_type,name,lat,lon,scraped_at
Tataouine,215190280,farmyard,,32.9886464,10.4550747,2026-02-15T13:38:16.116416
Tataouine,215190281,farmland,,32.9887047,10.4512496,2026-02-15T13:38:16.116416
Tataouine,215190282,orchard,,32.9887521,10.4504714,2026-02-15T13:38:16.116416
Tataouine,215190283,orchard,,32.988862,10.4524478,2026-02-15T13:38:16.116416
Tataouine,215190284,farmland,,32.9835736,10.4557266,2026-02-15T13:38:16.116416
Tataouine,215190285,farmland,,32.9896255,10.4532354,2026-02-15T13:38:16.116416
Tataouine,215190287,orchard,,32.9887309,10.4518154,2026-02-15T13:38:16.116416
Tataouine,215214487,farmland,,32.9741836,10.4451069,2026-02-15T13:38:16.116416
Tataouine,215214488,industrial,,32.9554634,10.4611501,2026-02-15T13:38:16.116416
Tataouine,215214490,orchard,,32.9784771,10.4524845,2026-02-15T13:38:16.116416
Tataouine,215214491,farmland,,32.9669843,10.4504359,2026-02-15T13:38:16.116416
Tataouine,215214494,farmland,,32.9601792,10.462815,2026-02-15T13:38:16.116416
Tataouine,215214495,farmland,,32.9574248,10.4612987,2026-02-15T13:38:16.116416
Tataouine,215214496,farmland,,32.9805264,10.4642538,2026-02-15T13:38:16.116416
Tataouine,215214497,farmland,,32.9862806,10.4647718,2026-02-15T13:38:16.116416
Tataouine,215214500,farmyard,,32.9715571,10.4637708,2026-02-15T13:38:16.116416
Tataouine,215214501,farmyard,,32.9776088,10.4635036,2026-02-15T13:38:16.116416
Tataouine,215214502,farmyard,,32.970137,10.4648257,2026-02-15T13:38:16.116416
Tataouine,215214503,farmyard,,32.9769096,10.4621178,2026-02-15T13:38:16.116416
Tataouine,215214505,farmyard,,32.9661204,10.462299,2026-02-15T13:38:16.116416
Tataouine,215214507,orchard,,32.9787709,10.4549096,2026-02-15T13:38:16.116416
Tataouine,215214508,farmyard,,32.9623031,10.4637973,2026-02-15T13:38:16.116416
Tataouine,215214509,farmyard,,32.9728619,10.4617986,2026-02-15T13:38:16.116416
Tataouine,215214518,farmland,,32.9547309,10.459373,2026-02-15T13:38:16.116416
Tataouine,215230846,orchard,,32.9537683,10.4605547,2026-02-15T13:38:16.116416
