etat_score,etat_prob_renove,standing_score,standing_prob_luxe
1,0.572,2,0.3426
1,0.7508,2,0.335
1,0.5773,2,0.343
1,0.6018,2,0.3365
1,0.5135,2,0.3486
1,0.6492,3,0.3901
1,0.5902,2,0.3278
1,0.6412,3,0.3691
1,0.5931,2,0.3573
1,0.6455,2,0.3478
1,0.5978,3,0.3496
1,0.5703,3,0.399
1,0.7061,3,0.4073
0,0.4729,1,0.3207
1,0.6542,2,0.3347
1,0.5967,2,0.3587
1,0.5412,3,0.3611
1,0.5412,3,0.3611
1,0.6693,2,0.3657
1,0.6067,2,0.3124
1,0.6205,3,0.386
1,0.7162,2,0.353
0,0.4729,1,0.3207
1,0.6752,2,0.3345
1,0.6324,2,0.3214
1,0.619,2,0.3433
1,0.6811,2,0.3312
1,0.6318,2,0.3317
1,0.6401,3,0.3684
1,0.7154,3,0.3719
1,0.7293,2,0.349
1,0.6055,2,0.3424
1,0.5714,3,0.3915
1,0.6705,2,0.3598
1,0.7706,2,0.3591
1,0.6698,2,0.3566
0,0.4729,1,0.3207
1,0.6466,2,0.3437
1,0.5841,2,0.3244
1,0.6745,2,0.3837
1,0.7025,2,0.3649
1,0.5362,3,0.3966
0,0.4925,2,0.3374
1,0.6023,2,0.3386
1,0.7458,3,0.4358
1,0.6355,2,0.3425
1,0.7056,2,0.3483
1,0.6784,2,0.3651
1,0.7588,3,0.3774
1,0.7429,3,0.415
1,0.6972,2,0.3742
1,0.5773,3,0.3493
1,0.7165,2,0.3664
1,0.5592,3,0.3481
1,0.5445,3,0.3927
1,0.6383,3,0.3651
1,0.7135,2,0.345
1,0.7115,3,0.394
1,0.7153,2,0.3425
1,0.5669,3,0.3597
0,0.4729,1,0.3207
1,0.6359,2,0.3272
1,0.7635,3,0.3799
1,0.5669,3,0.384
0,0.4729,3,0.3812
1,0.6362,2,0.3692
1,0.673,2,0.359
1,0.631,2,0.3388
1,0.7423,2,0.3672
1,0.7044,2,0.356
1,0.7038,2,0.3792
1,0.5428,2,0.3512
1,0.6015,3,0.3821
1,0.6073,2,0.3244
1,0.8133,3,0.4091
1,0.6728,2,0.3576
1,0.5618,2,0.322
1,0.5719,2,0.3478
1,0.5289,2,0.3428
1,0.6235,3,0.3638
1,0.6254,3,0.3906
1,0.5462,3,0.3641
1,0.5714,3,0.3915
0,0.4729,1,0.3207
1,0.5462,3,0.3641
1,0.5899,2,0.3262
1,0.64,3,0.3924
1,0.7207,2,0.3669
1,0.5964,2,0.3441
1,0.6458,2,0.3473
1,0.6612,3,0.3672
1,0.5546,2,0.3397
1,0.6182,2,0.3599
1,0.5307,2,0.3593
1,0.5491,2,0.3231
1,0.5663,2,0.3447
1,0.6449,3,0.3768
1,0.7569,2,0.3776
1,0.6383,2,0.3459
1,0.6527,2,0.3462
1,0.5771,3,0.3596
1,0.7523,3,0.3914
1,0.5669,3,0.3597
1,0.6898,2,0.373
1,0.7973,2,0.3985
0,0.4729,1,0.3207
1,0.6726,2,0.3653
1,0.5709,2,0.3454
1,0.5472,2,0.3438
1,0.5472,2,0.3437
1,0.6462,3,0.3674
1,0.5516,3,0.3421
1,0.571,3,0.3676
1,0.5287,3,0.3541
1,0.6103,2,0.3342
1,0.6287,2,0.3548
1,0.5412,3,0.3611
1,0.5289,2,0.3428
1,0.6523,2,0.3284
1,0.6704,3,0.4104
1,0.7885,2,0.3812
1,0.7775,2,0.3576
1,0.7365,2,0.3799
1,0.6178,2,0.3524
1,0.7548,2,0.3799
1,0.6611,3,0.3623
1,0.6539,2,0.3685
1,0.631,3,0.3743
1,0.6988,2,0.3647
0,0.4729,1,0.3207
1,0.682,2,0.3505
1,0.7325,2,0.3471
1,0.727,2,0.3793
1,0.685,3,0.3892
1,0.7018,2,0.3627
0,0.4729,2,0.3698
1,0.7139,2,0.4089
1,0.641,2,0.3751
1,0.701,3,0.3869
1,0.6594,3,0.3662
1,0.57,1,0.3544
1,0.5693,2,0.3257
1,0.5516,2,0.3332
1,0.6421,2,0.3171
1,0.7168,2,0.356
1,0.5651,2,0.3356
1,0.7168,3,0.4178
1,0.6809,2,0.3338
1,0.7438,3,0.4055
1,0.6674,2,0.3699
1,0.5443,2,0.3284
1,0.6611,3,0.3623
1,0.6998,2,0.3287
1,0.6226,3,0.3694
1,0.7023,3,0.3985
1,0.8024,2,0.383
1,0.5463,2,0.3434
1,0.6277,2,0.3514
1,0.6861,3,0.3999
1,0.6788,2,0.3781
1,0.6226,3,0.4094
1,0.5827,2,0.3613
1,0.5991,3,0.3738
1,0.6074,3,0.3875
1,0.7159,3,0.4078
1,0.6917,2,0.3588
1,0.6931,3,0.377
1,0.7024,2,0.3533
1,0.7103,3,0.3713
1,0.6955,3,0.4053
1,0.6367,2,0.3536
1,0.8122,3,0.4011
1,0.7346,2,0.3872
1,0.5737,3,0.373
1,0.5627,3,0.3561
1,0.6611,3,0.3623
1,0.6335,3,0.3783
1,0.7318,3,0.4336
1,0.784,2,0.3802
1,0.6298,3,0.3888
0,0.4729,1,0.3207
1,0.7542,2,0.3898
1,0.5627,3,0.3561
1,0.655,2,0.3456
1,0.5777,2,0.3474
1,0.6339,2,0.3335
1,0.7767,3,0.4082
1,0.7448,2,0.3333
1,0.573,3,0.3571
1,0.6466,2,0.358
1,0.5894,2,0.3635
1,0.6575,3,0.3635
1,0.708,2,0.3613
1,0.5901,3,0.3754
1,0.687,3,0.3961
1,0.676,3,0.3747
1,0.7399,3,0.3812
1,0.6517,3,0.3717
1,0.6839,2,0.3813
1,0.6307,3,0.369
1,0.5714,3,0.3915
1,0.6131,3,0.3655
1,0.7144,3,0.3791
1,0.6752,2,0.342
0,0.4729,1,0.3207
1,0.6626,2,0.3478
1,0.6275,2,0.3498
1,0.5966,2,0.313
1,0.5834,2,0.3443
1,0.7314,2,0.3786
1,0.664,2,0.3668
1,0.7532,2,0.377
1,0.6758,3,0.3734
1,0.6921,3,0.3999
1,0.7523,2,0.3805
1,0.5897,2,0.358
1,0.7242,3,0.3782
1,0.7598,2,0.3814
1,0.6604,3,0.3937
0,0.4729,3,0.3605
0,0.4729,3,0.4017
1,0.7416,3,0.412
1,0.6611,3,0.3623
1,0.7399,3,0.3902
0,0.4729,3,0.3891
1,0.6028,2,0.3499
0,0.4729,1,0.3207
0,0.4729,2,0.334
1,0.6811,3,0.3979
1,0.654,3,0.3846
1,0.5521,3,0.3717
1,0.7638,2,0.3471
1,0.7227,3,0.4072
1,0.7259,2,0.3503
1,0.6214,2,0.3215
1,0.6618,3,0.3966
1,0.5583,2,0.3646
1,0.7574,3,0.3903
1,0.5763,2,0.3351
1,0.7125,3,0.3911
1,0.6129,2,0.3641
1,0.7017,2,0.3632
0,0.4792,2,0.3177
1,0.7117,3,0.4159
1,0.6717,3,0.3769
1,0.6413,3,0.3885
1,0.6825,2,0.3554
1,0.6683,2,0.3532
1,0.6611,3,0.3623
0,0.4729,2,0.3333
0,0.4729,2,0.3514
1,0.625,2,0.3179
1,0.6105,2,0.3473
1,0.6609,2,0.3845
1,0.6413,3,0.3885
1,0.6825,2,0.3554
1,0.6683,2,0.3532
1,0.6712,2,0.3355
1,0.7021,3,0.377
1,0.5291,2,0.3323
1,0.6815,2,0.37
1,0.6927,2,0.3424
1,0.6824,2,0.3494
1,0.6956,3,0.3621
1,0.5957,2,0.3337
1,0.6062,3,0.3657
1,0.6756,3,0.4365
1,0.5534,2,0.3417
1,0.7582,2,0.3652
1,0.562,3,0.3915
1,0.6537,3,0.3577
1,0.5847,3,0.3797
1,0.6611,3,0.3623
1,0.6878,2,0.3609
1,0.6762,2,0.36
1,0.6512,2,0.3421
1,0.6159,3,0.379
0,0.4729,1,0.3207
1,0.5874,3,0.4067
1,0.6537,3,0.3577
1,0.5847,3,0.3797
1,0.6496,3,0.414
1,0.728,2,0.3751
1,0.616,3,0.3746
1,0.7204,2,0.3583
1,0.6385,3,0.3722
1,0.732,3,0.3995
1,0.746,3,0.3962
1,0.5434,3,0.4007
1,0.6328,2,0.3441
1,0.5462,2,0.3366
1,0.5338,3,0.3518
1,0.5714,3,0.3915
1,0.7862,2,0.3849
0,0.4729,1,0.3207
1,0.6945,2,0.3561
1,0.694,2,0.3495
1,0.6862,2,0.3391
1,0.7262,2,0.3728
1,0.7547,2,0.3858
1,0.6138,2,0.3435
1,0.6646,3,0.3705
1,0.5401,3,0.3736
1,0.5611,3,0.3631
1,0.5912,2,0.3467
1,0.7006,2,0.3621
1,0.6526,3,0.386
1,0.7112,3,0.3744
1,0.7327,3,0.3854
1,0.5978,3,0.3717
1,0.6285,2,0.3105
1,0.6918,3,0.4088
1,0.7032,3,0.3708
1,0.8154,2,0.3682
1,0.7764,2,0.4043
1,0.6258,2,0.3332
1,0.6278,2,0.3245
1,0.6507,3,0.3905
1,0.7812,2,0.3712
1,0.5978,3,0.4346
1,0.6215,3,0.3789
0,0.4729,1,0.3207
1,0.7496,3,0.4165
1,0.6388,3,0.3756
1,0.7433,2,0.3907
1,0.6032,3,0.3809
1,0.5667,3,0.3512
1,0.6069,2,0.3301
1,0.5737,3,0.355
1,0.5737,3,0.355
1,0.5737,3,0.355
1,0.6829,2,0.345
